 "s" , "p" , "o" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P973" , "http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=F&sortby=AUTORE&batch=10&view=list&locale=it&UBFS=16" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P973" , "http://catalogo.fondazionezeri.unibo.it/scheda.livello.jsp?decorator=layout_resp&apply=true&locale=it&tipo_scheda=fondo&id=3" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasNotesOnFindingAid" , "The Federico Zeri Foundation has drawn up an inventory of the collection contents. It follows Fahy's criteria and provides an immediate hierarchical map of the archive as a whole. All the iconographic material has been counted and inventoried with a univocal, progressive number fixing Fahy's original ordering of documents and photographs inside folders. A description of all the levels of the archival system is available in "Explore the collections" database of the Federico Zeri Foundation. The Foundation has started cataloguing the Florentine 15th century boxes item by item. Data on artworks and photos is incorporated in the Fototeca Zeri's online catalogue (http://catalogo.fondazionezeri.unibo.it)." ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasOtherNotes" , "The collection is a must for all researchers interested in Florentine painting and offers an outstanding overview on all medieval, Renaissance and Baroque Italian art." ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P127" , "http://www.wikidata.org/entity/Q23687322" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P485" , "https://w3id.org/artchives/MD1596724544417" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P1319" , "1965" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P1326" , "2017" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P571" , "2017" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q166118" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q2044" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q50641" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q580807" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q1273" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q1332178" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q13373" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q13378" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q555132" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q610687" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasNotesOnOtherNuclei" , "Nucleous of documents and letters produced by Fahy can be found in many archives of museums and private collectos. Numerous copies of Everett Fahy's famous "Lists", for instance, are preserved in Fototeca Zeri." ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q2858468" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q5669" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q191423" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q2013867" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q2309545" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q2311437" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q2525549" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q64881" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q7780" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtist" , "http://www.wikidata.org/entity/Q2554861" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectGenre" , "http://www.wikidata.org/entity/Q1400853" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectGenre" , "http://www.wikidata.org/entity/Q3147735" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectGenre" , "http://www.wikidata.org/entity/Q41493" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectGenre" , "http://www.wikidata.org/entity/Q9134" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectPeriod" , "http://www.wikidata.org/entity/Q4692" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectPeriod" , "http://www.wikidata.org/entity/Q7018" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectPeriod" , "http://www.wikidata.org/entity/Q7034" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectPeriod" , "http://www.wikidata.org/entity/Q7017" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtwork" , "http://www.wikidata.org/entity/Q2943" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtwork" , "http://www.wikidata.org/entity/Q2593098" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtwork" , "http://www.wikidata.org/entity/Q3657674" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectArtwork" , "http://www.wikidata.org/entity/Q526637" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasSubjectObject" , "http://www.wikidata.org/entity/Q1278452" ,
 "http://www.wikidata.org/entity/Q234110" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 Europeana" ,
 "http://www.wikidata.org/entity/Q234110" , "http://www.w3.org/2000/01/rdf-schema#label" , "                            Europeana" ,
 "http://www.wikidata.org/entity/Q1400853" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 portrait painting" ,
 "http://www.wikidata.org/entity/Q1400853" , "http://www.w3.org/2000/01/rdf-schema#label" , "                            portrait painting" ,
 "http://www.wikidata.org/entity/Q3147735" , "http://www.w3.org/2000/01/rdf-schema#label" , "         Christian iconography" ,
 "http://www.wikidata.org/entity/Q3147735" , "http://www.w3.org/2000/01/rdf-schema#label" , "            Christian iconography" ,
 "http://www.wikidata.org/entity/Q3147735" , "http://www.w3.org/2000/01/rdf-schema#label" , "                Christian iconography" ,
 "http://www.wikidata.org/entity/Q3147735" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 Christian iconography" ,
 "http://www.wikidata.org/entity/Q3147735" , "http://www.w3.org/2000/01/rdf-schema#label" , "                            Christian iconography" ,
 "http://www.wikidata.org/entity/Q41493" , "http://www.w3.org/2000/01/rdf-schema#label" , "            ancient history" ,
 "http://www.wikidata.org/entity/Q41493" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 ancient history" ,
 "http://www.wikidata.org/entity/Q41493" , "http://www.w3.org/2000/01/rdf-schema#label" , "                            ancient history" ,
 "http://www.wikidata.org/entity/Q9134" , "http://www.w3.org/2000/01/rdf-schema#label" , " mythology" ,
 "http://www.wikidata.org/entity/Q9134" , "http://www.w3.org/2000/01/rdf-schema#label" , "                mythology" ,
 "http://www.wikidata.org/entity/Q9134" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 mythology" ,
 "http://www.wikidata.org/entity/Q9134" , "http://www.w3.org/2000/01/rdf-schema#label" , "                            mythology" ,
 "http://www.wikidata.org/entity/Q2528876" , "http://www.w3.org/2000/01/rdf-schema#label" , "                            Vittorio Cini" ,
 "http://www.wikidata.org/entity/Q3609940" , "http://www.w3.org/2000/01/rdf-schema#label" , "        Alessandro Contini Bonacossi" ,
 "http://www.wikidata.org/entity/Q3609940" , "http://www.w3.org/2000/01/rdf-schema#label" , "                            Alessandro Contini Bonacossi" ,
 "http://www.wikidata.org/entity/Q134307" , "http://www.w3.org/2000/01/rdf-schema#label" , "   portrait" ,
 "http://www.wikidata.org/entity/Q134307" , "http://www.w3.org/2000/01/rdf-schema#label" , "         portrait" ,
 "http://www.wikidata.org/entity/Q134307" , "http://www.w3.org/2000/01/rdf-schema#label" , "          portrait" ,
 "http://www.wikidata.org/entity/Q134307" , "http://www.w3.org/2000/01/rdf-schema#label" , "            portrait" ,
 "http://www.wikidata.org/entity/Q134307" , "http://www.w3.org/2000/01/rdf-schema#label" , "                portrait" ,
 "http://www.wikidata.org/entity/Q1654544" , "http://www.w3.org/2000/01/rdf-schema#label" , "     ISAD(G)" ,
 "http://www.wikidata.org/entity/Q1654544" , "http://www.w3.org/2000/01/rdf-schema#label" , "        ISAD(G)" ,
 "http://www.wikidata.org/entity/Q1654544" , "http://www.w3.org/2000/01/rdf-schema#label" , "           ISAD(G)" ,
 "http://www.wikidata.org/entity/Q22132694" , "http://www.w3.org/2000/01/rdf-schema#label" , "        museum director" ,
 "http://www.wikidata.org/entity/Q22132694" , "http://www.w3.org/2000/01/rdf-schema#label" , "               museum director" ,
 "http://www.wikidata.org/entity/Q22132694" , "http://www.w3.org/2000/01/rdf-schema#label" , "                museum director" ,
 "http://www.wikidata.org/entity/Q22132694" , "http://www.w3.org/2000/01/rdf-schema#label" , "                    museum director" ,
 "https://w3id.org/artchives/MD1556356058519" , "http://www.w3.org/2000/01/rdf-schema#comment" , "cataloguing standard" ,
 "https://w3id.org/artchives/MD1556356058519" , "http://www.w3.org/2000/01/rdf-schema#label" , "                                ICCD-OA" ,
 "https://w3id.org/artchives/MD1556356058519" , "http://www.w3.org/2000/01/rdf-schema#label" , "                                     ICCD-OA" ,
 "https://w3id.org/artchives/MD1556356058519" , "http://www.w3.org/2000/01/rdf-schema#label" , "                                          ICCD-OA" ,
 "https://w3id.org/artchives/MD1556356158493" , "http://www.w3.org/2000/01/rdf-schema#comment" , "person or organization" ,
 "https://w3id.org/artchives/MD1556356158493" , "http://www.w3.org/2000/01/rdf-schema#label" , "                                          galleria Sangiorgi" ,
 "http://www.wikidata.org/entity/Q2858468" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 Apollonio di Giovanni" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "   painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "      painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "        painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "          painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "           painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "            painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "             painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "               painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "                        painting" ,
 "http://www.wikidata.org/entity/Q3305213" , "http://www.w3.org/2000/01/rdf-schema#label" , "                          painting" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.wikidata.org/prop/direct/P580" , "1590-01-01T00:00:00.000Z" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.wikidata.org/prop/direct/P582" , "1750-01-01T00:00:00.000Z" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "         baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "             baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "Baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "  Baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "    Baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "       Baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "            Baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "             Baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "                Baroque" ,
 "http://www.wikidata.org/entity/Q37853" , "http://www.w3.org/2000/01/rdf-schema#label" , "                            Baroque" ,
 "http://www.wikidata.org/entity/Q5669" , "http://www.w3.org/2000/01/rdf-schema#label" , "Sandro Botticelli" ,
 "http://www.wikidata.org/entity/Q5669" , "http://www.w3.org/2000/01/rdf-schema#label" , "          Sandro Botticelli" ,
 "http://www.wikidata.org/entity/Q5669" , "http://www.w3.org/2000/01/rdf-schema#label" , "                Sandro Botticelli" ,
 "http://www.wikidata.org/entity/Q5669" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 Sandro Botticelli" ,
 "http://www.wikidata.org/entity/Q5669" , "http://www.w3.org/2000/01/rdf-schema#label" , "                          Sandro Botticelli" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.wikidata.org/prop/direct/P580" , "1601-01-01T00:00:00.000Z" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.wikidata.org/prop/direct/P582" , "1700-12-31T00:00:00.000Z" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "      17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "         17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "           17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "            17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "               17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "                17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "                       17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "                        17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "                           17th century" ,
 "http://www.wikidata.org/entity/Q7016" , "http://www.w3.org/2000/01/rdf-schema#label" , "                            17th century" ,
 "http://www.wikidata.org/entity/Q762" , "http://www.w3.org/2000/01/rdf-schema#label" , "Leonardo da Vinci" ,
 "http://www.wikidata.org/entity/Q762" , "http://www.w3.org/2000/01/rdf-schema#label" , "               Leonardo da Vinci" ,
 "http://www.wikidata.org/entity/Q762" , "http://www.w3.org/2000/01/rdf-schema#label" , "                          Leonardo da Vinci" ,
 "http://www.wikidata.org/entity/Q860861" , "http://www.w3.org/2000/01/rdf-schema#label" , "   sculpture" ,
 "http://www.wikidata.org/entity/Q860861" , "http://www.w3.org/2000/01/rdf-schema#label" , "    sculpture" ,
 "http://www.wikidata.org/entity/Q860861" , "http://www.w3.org/2000/01/rdf-schema#label" , "          sculpture" ,
 "http://www.wikidata.org/entity/Q860861" , "http://www.w3.org/2000/01/rdf-schema#label" , "            sculpture" ,
 "http://www.wikidata.org/entity/Q860861" , "http://www.w3.org/2000/01/rdf-schema#label" , "               sculpture" ,
 "http://www.wikidata.org/entity/Q860861" , "http://www.w3.org/2000/01/rdf-schema#label" , "                sculpture" ,
 "http://www.wikidata.org/entity/Q860861" , "http://www.w3.org/2000/01/rdf-schema#label" , "                 sculpture" ,
